field_1,input_string,kreis,latitude,longitude,postcode,type,year
"70","Hirschengraben 50, Zürich",Predigern,"47.3745103","8.5467169","8001",Gewerbehaus/Geschäftshaus,
"71","Hoffeld 12, Zürich",Matthäus,"47.4048518","8.5340656","8057",Wohnen,"1953.0"
"72","Hoffeld 2, Zürich",Matthäus,"47.4049795","8.5336806","8057",Kirche ,"1946.0"
"73","Hohenklingenstrasse 29, Zürich",Höngg,"47.4017478","8.4925625","8049",Pfarrhaus ,"1929.0"
"74","Höhenring 56, Zürich",Seebach,"47.4204531","8.5412252","8052",Kirche ,"1947.0"
"75","Höhenring 62, Zürich",Seebach,"47.4207325","8.5408723","8052",Gewerbehaus/Geschäftshaus,"1956.0"
"76","Holderbachweg 25, Zürich",Affoltern,"47.4177292","8.5036331","8046",Gewerbehaus/Geschäftshaus,"1961.0"
"77","Hönggerstrasse 60, Zürich",Wipkingen,"47.3930192","8.523052999999999","8037",Gewerbehaus/Geschäftshaus,"1930.0"
"78","Hönggerstrasse 74, Zürich",Wipkingen,"47.3937251","8.5220184","8037",Pfarrhaus ,"1865.0"
"79","Imfeldstrasse 51, Zürich",Wipkingen,"47.3894007","8.5312763","8037",Kirche ,"1949.0"
"80","Kämbelgasse 2, Zürich",Fraumünster,"47.3704129","8.541728299999999","8001",Pfarrhaus ,"1750.0"
"81","Kantstrasse 21, Zürich",Fluntern,"47.37657979999999","8.556751799999999","8044",Pfarrhaus ,"1918.0"
"82","Kilchbergstrasse 13, Zürich",Wollishofen,"47.3432735","8.5329424","8038",Kirche ,"1702.0"
"83","Kilchbergstrasse 19, Zürich",Wollishofen,"47.3427792","8.533769999999999","8038",Kirchgemeindehaus,"1923.0"
"84","Kinkelstrasse 21, Zürich",Unterstrass,"47.3870575","8.5418454","8006",Pfarrhaus ,"1923.0"
"85","Kirchgasse 13, Zürich",Grossmünster,"47.3703177","8.5449615","8001",Wohnen,
"86","Kirchgasse 17, Zürich",Grossmünster,"47.3704636","8.5454815","8001",Gewerbehaus/Geschäftshaus,"1812.0"
"87","Lanzrainstrasse 7, Zürich",Oberengstringen,"47.4066827","8.4669534","8102",Gewerbehaus/Geschäftshaus,"1993.0"
"88","Lenggstrasse 71, Zürich",Balgrist,"47.3546269","8.5738693","8008",Pfarrhaus ,"1952.0"
"89","Lenggstrasse 75, Zürich",Balgrist,"47.3549152","8.5736641","8008",Kirche ,"1952.0"
"90","Ligusterstrasse 1, Zürich",Oerlikon,"47.4054332","8.5457371","8057",Wohnen,"1929.0"
"91","Limmatstrasse 112, Zürich",Industriequartier,"47.3837029","8.5332733","8005",Kirche ,"1898.0"
